Revised_Energy_Efficiency_Rating,Lower_Super_Output_Area
D,E01000001
D,E01000002
D,E01000003
C,E01000005
D,E01000006
C,E01000007
C,E01000008
D,E01000009
D,E01000010
D,E01000011
D,E01000012
D,E01000013
D,E01000014
D,E01000015
D,E01000016
D,E01000017
D,E01000018
D,E01000019
D,E01000020
D,E01000021
D,E01000022
B,E01000023
D,E01000024
D,E01000025
D,E01000027
D,E01000028
D,E01000029
D,E01000030
D,E01000031
D,E01000032
D,E01000033
D,E01000034
D,E01000035
D,E01000036
D,E01000037
D,E01000038
D,E01000039
D,E01000040
D,E01000041
D,E01000042
D,E01000043
D,E01000044
D,E01000045
D,E01000046
E,E01000048
E,E01000049
D,E01000050
D,E01000051
D,E01000052
D,E01000053
D,E01000054
D,E01000055
D,E01000056
D,E01000057
D,E01000058
D,E01000059
D,E01000060
D,E01000061
D,E01000062
D,E01000063
D,E01000064
D,E01000065
D,E01000066
D,E01000067
D,E01000068
D,E01000069
D,E01000070
D,E01000071
D,E01000072
D,E01000073
D,E01000074
D,E01000075
D,E01000076
D,E01000077
D,E01000078
D,E01000079
D,E01000080
D,E01000081
D,E01000082
D,E01000083
D,E01000084
D,E01000085
D,E01000086
D,E01000087
D,E01000088
D,E01000089
D,E01000090
D,E01000091
B,E01000092
D,E01000093
C,E01000094
D,E01000095
D,E01000096
D,E01000097
D,E01000098
D,E01000099
D,E01000100
D,E01000101
D,E01000102
D,E01000103
C,E01000104
D,E01000105
D,E01000106
D,E01000107
D,E01000108
D,E01000109
D,E01000110
D,E01000111
D,E01000112
D,E01000113
D,E01000114
E,E01000115
D,E01000116
D,E01000117
D,E01000118
E,E01000119
E,E01000120
D,E01000121
E,E01000122
D,E01000123
D,E01000124
C,E01000125
C,E01000126
D,E01000127
D,E01000128
D,E01000129
D,E01000130
D,E01000131
D,E01000132
D,E01000133
D,E01000134
E,E01000135
D,E01000136
D,E01000137
E,E01000138
D,E01000139
D,E01000140
D,E01000141
C,E01000142
D,E01000143
D,E01000144
D,E01000145
D,E01000146
D,E01000147
B,E01000148
D,E01000150
C,E01000151
D,E01000152
D,E01000153
D,E01000154
B,E01000155
D,E01000156
D,E01000157
D,E01000158
E,E01000159
C,E01000160
C,E01000161
D,E01000162
C,E01000163
D,E01000164
C,E01000165
D,E01000166
D,E01000167
D,E01000168
D,E01000169
D,E01000170
D,E01000171
D,E01000172
D,E01000173
D,E01000174
D,E01000175
C,E01000176
D,E01000177
E,E01000178
D,E01000179
D,E01000180
D,E01000181
D,E01000182
D,E01000183
D,E01000184
D,E01000185
E,E01000186
D,E01000187
D,E01000188
B,E01000189
D,E01000190
D,E01000191
D,E01000192
D,E01000193
D,E01000194
D,E01000195
C,E01000196
D,E01000197
D,E01000198
D,E01000199
D,E01000200
E,E01000201
E,E01000202
D,E01000203
D,E01000204
E,E01000205
E,E01000206
E,E01000207
E,E01000208
E,E01000209
E,E01000210
D,E01000211
E,E01000212
E,E01000213
D,E01000214
D,E01000215
D,E01000216
D,E01000217
D,E01000218
D,E01000219
D,E01000220
D,E01000221
D,E01000222
D,E01000223
D,E01000224
E,E01000225
D,E01000226
D,E01000227
D,E01000228
D,E01000229
D,E01000230
D,E01000231
D,E01000232
D,E01000233
E,E01000234
D,E01000235
D,E01000236
D,E01000237
D,E01000238
C,E01000239
E,E01000240
D,E01000241
D,E01000242
D,E01000243
D,E01000244
D,E01000245
D,E01000246
D,E01000247
D,E01000248
E,E01000249
D,E01000250
D,E01000251
D,E01000252
D,E01000253
D,E01000254
D,E01000255
D,E01000256
D,E01000257
D,E01000258
D,E01000259
D,E01000260
D,E01000261
B,E01000262
E,E01000263
D,E01000264
D,E01000265
E,E01000266
D,E01000267
D,E01000268
D,E01000269
D,E01000270
E,E01000271
E,E01000272
D,E01000273
D,E01000274
D,E01000275
D,E01000276
D,E01000277
D,E01000278
D,E01000279
E,E01000280
D,E01000281
D,E01000282
E,E01000283
D,E01000284
D,E01000285
D,E01000286
D,E01000287
D,E01000288
D,E01000289
D,E01000290
D,E01000291
D,E01000292
E,E01000293
D,E01000294
D,E01000295
D,E01000296
D,E01000297
D,E01000298
D,E01000299
D,E01000300
D,E01000301
D,E01000302
D,E01000303
D,E01000304
D,E01000305
D,E01000306
D,E01000307
B,E01000308
D,E01000309
D,E01000310
E,E01000311
D,E01000312
D,E01000313
D,E01000314
D,E01000315
D,E01000316
D,E01000317
D,E01000318
D,E01000319
D,E01000320
D,E01000321
D,E01000322
D,E01000323
E,E01000324
D,E01000325
D,E01000326
D,E01000327
D,E01000328
D,E01000329
D,E01000330
D,E01000331
D,E01000332
D,E01000333
D,E01000334
C,E01000335
D,E01000336
D,E01000337
D,E01000338
D,E01000339
D,E01000340
D,E01000341
D,E01000342
D,E01000343
D,E01000344
D,E01000345
D,E01000346
D,E01000347
E,E01000348
E,E01000349
D,E01000350
D,E01000351
D,E01000352
D,E01000353
D,E01000354
D,E01000355
E,E01000356
D,E01000357
D,E01000358
D,E01000359
D,E01000360
D,E01000361
D,E01000362
E,E01000363
D,E01000364
D,E01000365
D,E01000366
D,E01000367
D,E01000368
D,E01000369
D,E01000370
D,E01000371
D,E01000372
D,E01000373
D,E01000374
D,E01000375
D,E01000376
D,E01000377
C,E01000378
D,E01000379
D,E01000380
D,E01000381
E,E01000382
D,E01000383
E,E01000384
D,E01000385
D,E01000386
D,E01000387
D,E01000388
D,E01000389
D,E01000390
D,E01000391
D,E01000392
D,E01000393
D,E01000394
E,E01000395
D,E01000396
D,E01000398
D,E01000399
D,E01000400
D,E01000401
D,E01000402
C,E01000403
C,E01000404
D,E01000405
D,E01000406
D,E01000407
D,E01000408
E,E01000409
D,E01000410
D,E01000411
D,E01000412
D,E01000413
E,E01000414
E,E01000415
D,E01000416
D,E01000417
D,E01000418
D,E01000419
D,E01000420
E,E01000421
D,E01000422
E,E01000423
E,E01000424
E,E01000425
D,E01000426
D,E01000427
D,E01000428
D,E01000429
D,E01000430
D,E01000431
D,E01000432
D,E01000433
C,E01000434
D,E01000435
D,E01000436
D,E01000437
D,E01000438
D,E01000439
D,E01000440
D,E01000441
D,E01000442
D,E01000443
D,E01000444
D,E01000445
D,E01000446
D,E01000447
E,E01000448
D,E01000449
D,E01000450
D,E01000451
D,E01000452
D,E01000453
D,E01000454
D,E01000455
D,E01000456
D,E01000457
E,E01000458
C,E01000459
D,E01000460
D,E01000461
D,E01000462
D,E01000463
D,E01000464
D,E01000465
D,E01000466
D,E01000467
C,E01000468
D,E01000469
D,E01000470
D,E01000471
D,E01000472
D,E01000473
D,E01000474
D,E01000475
D,E01000476
D,E01000477
D,E01000478
E,E01000479
E,E01000480
D,E01000481
C,E01000482
D,E01000483
C,E01000484
D,E01000485
D,E01000486
D,E01000487
D,E01000488
D,E01000489
D,E01000490
D,E01000491
D,E01000492
D,E01000493
C,E01000494
D,E01000495
D,E01000497
D,E01000498
D,E01000499
D,E01000501
D,E01000502
D,E01000503
D,E01000504
D,E01000505
D,E01000506
D,E01000507
D,E01000508
D,E01000509
D,E01000510
D,E01000511
D,E01000512
D,E01000513
D,E01000514
D,E01000515
D,E01000516
E,E01000517
D,E01000518
D,E01000519
D,E01000520
D,E01000521
D,E01000522
D,E01000523
D,E01000524
D,E01000525
C,E01000526
D,E01000527
C,E01000528
D,E01000530
D,E01000531
D,E01000532
D,E01000533
D,E01000534
D,E01000535
E,E01000536
E,E01000538
D,E01000539
E,E01000540
D,E01000541
D,E01000543
D,E01000544
D,E01000545
D,E01000546
D,E01000547
D,E01000548
D,E01000549
D,E01000550
C,E01000551
D,E01000552
D,E01000553
D,E01000554
D,E01000555
D,E01000556
D,E01000557
D,E01000558
D,E01000559
D,E01000560
D,E01000561
E,E01000562
E,E01000563
D,E01000564
D,E01000565
D,E01000566
D,E01000567
C,E01000568
E,E01000569
D,E01000570
E,E01000571
E,E01000572
D,E01000573
E,E01000574
D,E01000575
D,E01000576
D,E01000577
B,E01000578
D,E01000579
D,E01000580
D,E01000581
D,E01000582
D,E01000583
D,E01000584
D,E01000585
D,E01000586
D,E01000587
D,E01000588
D,E01000589
D,E01000590
D,E01000591
D,E01000592
D,E01000593
D,E01000594
D,E01000595
D,E01000596
C,E01000599
C,E01000600
D,E01000601
D,E01000602
D,E01000603
D,E01000604
D,E01000605
D,E01000606
D,E01000607
D,E01000608
D,E01000609
D,E01000610
D,E01000611
D,E01000612
D,E01000613
D,E01000615
D,E01000616
D,E01000617
D,E01000618
D,E01000619
E,E01000620
D,E01000621
D,E01000622
D,E01000623
E,E01000624
D,E01000625
C,E01000626
D,E01000627
D,E01000628
D,E01000629
C,E01000630
D,E01000631
D,E01000632
D,E01000633
D,E01000634
D,E01000635
D,E01000636
D,E01000637
D,E01000638
D,E01000639
D,E01000640
D,E01000641
D,E01000642
C,E01000643
D,E01000644
D,E01000645
C,E01000646
D,E01000647
D,E01000648
D,E01000649
D,E01000650
D,E01000651
D,E01000652
D,E01000653
D,E01000654
D,E01000655
D,E01000656
D,E01000657
D,E01000658
D,E01000659
B,E01000661
D,E01000662
D,E01000663
D,E01000664
D,E01000665
D,E01000666
D,E01000667
D,E01000668
E,E01000669
D,E01000670
D,E01000671
E,E01000672
E,E01000673
D,E01000674
D,E01000675
D,E01000676
D,E01000677
E,E01000678
E,E01000679
D,E01000680
D,E01000681
D,E01000682
D,E01000683
D,E01000684
D,E01000685
D,E01000686
D,E01000687
D,E01000688
D,E01000689
D,E01000690
D,E01000691
D,E01000692
D,E01000693
D,E01000694
D,E01000695
D,E01000696
D,E01000697
D,E01000698
D,E01000699
D,E01000700
D,E01000701
D,E01000702
E,E01000703
D,E01000704
D,E01000705
D,E01000706
D,E01000707
D,E01000708
D,E01000709
D,E01000710
D,E01000711
D,E01000712
D,E01000713
D,E01000714
D,E01000715
D,E01000716
D,E01000717
D,E01000718
D,E01000719
D,E01000720
C,E01000721
D,E01000722
D,E01000723
D,E01000724
D,E01000725
D,E01000726
D,E01000727
D,E01000728
D,E01000729
D,E01000730
D,E01000731
D,E01000732
D,E01000733
D,E01000734
D,E01000735
D,E01000736
D,E01000737
D,E01000738
D,E01000739
D,E01000740
D,E01000741
D,E01000742
D,E01000743
D,E01000744
D,E01000745
D,E01000746
D,E01000747
D,E01000748
D,E01000749
C,E01000750
D,E01000751
D,E01000752
D,E01000753
D,E01000754
D,E01000755
D,E01000756
D,E01000757
D,E01000758
D,E01000759
D,E01000760
E,E01000761
D,E01000762
D,E01000763
D,E01000764
D,E01000765
E,E01000766
D,E01000767
E,E01000768
D,E01000769
D,E01000770
E,E01000771
D,E01000772
D,E01000773
D,E01000774
D,E01000775
D,E01000777
D,E01000778
D,E01000779
D,E01000780
D,E01000781
D,E01000782
D,E01000783
D,E01000784
D,E01000785
D,E01000786
D,E01000787
D,E01000788
C,E01000789
D,E01000790
D,E01000791
D,E01000792
E,E01000793
E,E01000794
D,E01000795
C,E01000796
E,E01000797
D,E01000798
D,E01000799
D,E01000800
D,E01000801
D,E01000802
D,E01000803
E,E01000804
D,E01000805
D,E01000806
E,E01000807
D,E01000808
D,E01000809
E,E01000810
D,E01000811
D,E01000812
D,E01000813
E,E01000814
E,E01000815
D,E01000816
D,E01000818
D,E01000819
C,E01000820
D,E01000822
D,E01000823
D,E01000824
D,E01000825
E,E01000826
D,E01000827
D,E01000828
D,E01000829
E,E01000830
E,E01000831
E,E01000832
E,E01000833
E,E01000834
D,E01000835
E,E01000836
E,E01000837
D,E01000838
E,E01000839
E,E01000840
E,E01000841
D,E01000842
